ID,TYPE,SYMBOL,COMPANY,INDUSTRY,EXCHANGE,ENTRYPRICE,TARGETPRICE,STRIKEPRICE,STOPLOSS,POTENTIALRETURN,STARTDATE,HOLDPERIOD,RISK,STATUS,PICKPOSITION,CLOSEDATE,CLOSEREASON,PERCENTGAIN,CLOSEDEMAILSENT,LASTTRADE,UNDERLYING_STOCK_SYMBOL,PORTFOLIOGAIN,COMMENTS,,QPICK,STARTDATETEMP
73816,Buy Calls,AAPL,AAPL Jul 30 2021 152.5 Call (Weekly),,,1.95,3.9,152.5,0.2,,2021-07-16,,,ACTIVE,Closed,2021-07-16,STOPPED OUT,-74,YES,,AAPL,-740,"Cannot ignore this set-up and this is for the following week. Once again, we strike with AAPL ",,NO,NULL
73873,Buy Calls,AAPL,AAPL Jun 4 2021 130 Call (Weekly),,,1.63,2.95,130,0.25,,2021-05-11,,,ACTIVE,Closed,2021-05-11,STOPPED OUT,-76,YES,,AAPL,-760,One more,,NO,NULL
73936,Buy Calls,AAPL,AAPL Mar 12 2021 130 Call (Weekly),,,1.82,3.65,130,0.65,,2021-02-23,,,ACTIVE,Closed,2021-03-01,STOPPED OUT,63,YES,,AAPL,630,"AAPL trigger, outstanding value / opportunity. ",,NO,NULL
73881,Buy Calls,AAPL,AAPL May 21 2021 137 Call,,,1.32,2.65,137,,,2021-05-03,,,ACTIVE,Closed,2021-05-03,STOPPED OUT,,YES,,AAPL,0,AAPL bounce towards $140 in play this week.,,NO,NULL
73894,Buy Calls,AAPL,AAPL May 7 2021 140 Call (Weekly),,,2.47,4.5,140,0.9,,2021-04-15,,,ACTIVE,Closed,2021-04-15,STOPPED OUT,-62,YES,,AAPL,-620,Strong value with AAPL 140's on May 7th weeklies.  AAPL is headed towards $140 plus short term.,,NO,NULL
74040,Buy Calls,AAPL,AAPL Nov 20 2020 130 Call,,,3.55,7.1,130,,,2020-10-12,,,ACTIVE,Closed,2020-10-12,STOPPED OUT,-100,YES,,AAPL,-1000,We move out over a month for this trade but AAPL has triggered with a move into the $130's over the next few weeks.,,NO,NULL
74058,Buy Calls,AAPL,AAPL Oct 9 2020 117.5 Call (Weekly),,,1.97,2.33,117.5,0.5,,2020-09-21,,,ACTIVE,Closed,2020-09-28,TARGET REACHED,18,YES,,AAPL,180,What we outlined this morning for AAPL is occurring.  $120 short term in play.,,NO,NULL
73790,Buy Calls,AAPL,AAPL Sep 17 2021 150 Call,,,2.45,3.95,150,0.92,,2021-08-12,,,ACTIVE,Closed,2021-08-16,TARGET REACHED,62,YES,,AAPL,620,Back into apple for strong value here,,NO,NULL
73774,Buy Calls,AAPL,AAPL Sep 17 2021 155 Call,,,1.45,2.57,155,0.5,,2021-08-30,,,ACTIVE,Closed,2021-09-01,TARGET REACHED,77,YES,,AAPL,770,AAPL with a big breakout and we add the 155's for sep 17 strike as well here,,NO,NULL
74068,Buy Calls,AAPL,AAPL Sep 18 2020 126.25 Call,,,2.69,4.8,126.25,1,,2020-09-08,,,ACTIVE,Closed,2020-09-08,STOPPED OUT,-61,YES,,AAPL,-610,Turn it...,,NO,NULL
74075,Buy Calls,AAPL,AAPL Sep 18 2020 137.5 Call,,,2.9,4.42,137.5,1.15,,2020-08-31,,,ACTIVE,Closed,2020-09-01,TARGET REACHED,53,YES,,AAPL,530,AAPL is showing so much strength and the upside calls continue to flash.  We join in with a move towards $140 short term in play,,NO,NULL
73786,Buy Calls,AAPL,AAPL Sep 3 2021 152.5 Call (Weekly),,,1.4,2.33,152.5,0.51,,2021-08-16,,,ACTIVE,Closed,2021-08-16,TARGET REACHED,-71,YES,,AAPL,-710,Back in.,,NO,NULL
73785,Buy Calls,AAPL,AAPL Sep 3 2021 155 Call (Weekly),,,1.75,3.5,155,0.45,,2021-08-17,,,ACTIVE,Closed,2021-08-17,STOPPED OUT,-64,YES,,AAPL,-640,Once more here as price activity continues to trigger.,,NO,NULL
73970,Buy Stock,ACB,ACB Jan 29 2021 12 Call (Weekly),,,0.86,1.22,12,0.25,,2021-01-13,,,ACTIVE,Closed,2021-01-14,TARGET REACHED,42,YES,,ACB,420,This stock could get angry and very quickly.,,NO,NULL
73838,Buy Calls,ADSK,ADSK Jul 16 2021 290 Call,,,4.1,5.6,290,1.5,,2021-06-21,,,ACTIVE,Closed,2021-06-24,TARGET REACHED,37,YES,,ADSK,370,ADSK is flagging and breakout to 300 is in play,,NO,NULL
73778,Buy Calls,AFRM,AFRM Sep 17 2021 80 Call,,,2.9,17.9,80,0.95,,2021-08-25,,,ACTIVE,Closed,2021-08-30,TARGET REACHED,518,YES,,AFRM,5180,Monster movement here.,,NO,NULL
73799,Buy Calls,AMD,AMD Aug 13 2021 130 Call (Weekly),,,2.09,3.55,130,0.55,,2021-08-04,,,ACTIVE,Closed,2021-08-04,TARGET REACHED,70,YES,,AMD,700,AMD trigger with price / volume momentum.,,NO,NULL
74100,Buy Calls,AMD,AMD Aug 14 2020 87 Call (Weekly),,,1.65,2.9,87,0.5,,2020-08-04,,,ACTIVE,Closed,2020-08-04,TARGET REACHED,76,YES,,AMD,760,AMD will push $90 short term.,,NO,NULL
74011,Buy Calls,AMD,AMD Dec 18 2020 92.5 Call,,,1.8,2.78,92.5,0.75,,2020-11-23,,,ACTIVE,Closed,2020-11-30,TARGET REACHED,55,YES,,AMD,550,Strong price activity along with strong upside call volume.,,NO,NULL
73992,Buy Calls,AMD,AMD Dec 31 2020 102 Call (Weekly),,,2.49,4.4,102,0.73,,2020-12-15,,,ACTIVE,Closed,2020-12-18,STOPPED OUT,-63,YES,,AMD,-630,Breakout on AMD finally.,,NO,NULL
73945,Buy Calls,AMD,AMD Feb 26 2021 98 Call (Weekly),,,1.95,3.9,98,0.65,,2021-02-10,,,ACTIVE,Closed,2021-02-16,STOPPED OUT,-66,YES,,AMD,-660,"Clearing that flag, AMD should charge towards $100 ",,NO,NULL
74056,Buy Calls,AMD,AMD Oct 16 2020 82 Call,,,2.39,3.02,82,1,,2020-09-24,,,ACTIVE,Closed,2020-09-29,TARGET REACHED,26,YES,,AMD,260,"Price activity has been beyond strong.  Call activity and price volume, outstanding.  Trend line has a move back towards $85. ",,NO,NULL
74076,Buy Calls,AMD,AMD Sep 18 2020 92.5 Call,,,2.53,4.2,92.5,0.85,,2020-08-31,,,ACTIVE,Closed,2020-08-31,TARGET REACHED,66,YES,,AMD,660,AMD is looking to go....,,NO,NULL
74071,Buy Calls,AMD,AMD Sep 18 2020 97.5 Call,,,2.71,5.45,97.5,1.05,,2020-09-02,,,ACTIVE,Closed,2020-09-02,STOPPED OUT,-59,YES,,AMD,-590,Next opportunity.,,NO,NULL
73791,Buy Calls,AMD,AMD Sep 3 2021 115 Call (Weekly),,,2.94,4.95,115,1.17,,2021-08-11,,,ACTIVE,Closed,2021-08-11,STOPPED OUT,-59,YES,,AMD,-590,Have to love the price activity here with AMD and how it's trading compared to the Nas today. Technicals look great for a monster move higher.,,NO,NULL
73964,Buy Calls,APPS,APPS Feb 19 2021 70 Call,,,4.6,6.15,70,1.5,,2021-01-20,,,ACTIVE,Closed,2021-01-22,TARGET REACHED,34,YES,,APPS,340,Breakout level.,,NO,NULL
73990,Buy Calls,APPS,APPS Jan 15 2021 60 Call,,,2.3,3.6,60,0.8,,2020-12-17,,,ACTIVE,Closed,2020-12-18,TARGET REACHED,57,YES,,APPS,570,APPS is a play over the next few weeks as we see a monster move continue towards $60 and higher. Back in with APPS,,NO,NULL
73835,Buy Calls,APPS,APPS Jul 16 2021 80 Call,,,2.8,4.25,80,1.1,,2021-06-24,,,ACTIVE,Closed,2021-06-24,TARGET REACHED,52,YES,,APPS,520,It's about to explode higher,,NO,NULL
74059,Buy Calls,APPS,APPS Oct 16 2020 35 Call,,,2.5,2.75,35,1.3,,2020-09-17,,,ACTIVE,Closed,2020-09-23,TARGET REACHED,10,YES,,APPS,100,It's time,,NO,NULL
73843,Buy Calls,ARKK,ARKK Jul 16 2021 125 Call,,,1.7,2.85,125,0.5,,2021-06-14,,,ACTIVE,Closed,2021-06-23,TARGET REACHED,68,YES,,ARKK,680,ARKK with a monster technical developing.,,NO,NULL
73872,Buy Puts,ARKK,ARKK Jun 4 2021 95 Put (Weekly),,,3.2,5.3,95,1.5,,2021-05-12,,,ACTIVE,Closed,2021-05-12,STOPPED OUT,-53,YES,,ARKK,-530,,,NO,NULL
73812,Buy Calls,ASAN,ASAN Aug 20 2021 75 Call,,,3.4,4.45,75,1.2,,2021-07-22,,,ACTIVE,Closed,2021-07-26,TARGET REACHED,31,YES,,ASAN,310,Next level,,NO,NULL
73807,Buy Calls,ASAN,ASAN Aug 20 2021 75 Call,,,2.5,3.2,75,0.75,,2021-07-28,,,ACTIVE,Closed,2021-08-03,TARGET REACHED,28,YES,,ASAN,280,ASAN great reentry point and ASAN is headed towards $80 short term.,,NO,NULL
73839,Buy Calls,ASAN,ASAN Jul 16 2021 60 Call,,,1.95,3.9,60,0.7,,2021-06-18,,,ACTIVE,Closed,2021-06-21,TARGET REACHED,100,YES,,ASAN,1000,Monster and we want in for next week.,,NO,NULL
73769,Buy Calls,ASAN,ASAN Sep 17 2021 100 Call,,,2.3,4.5,100,0.7,,2021-09-03,,,ACTIVE,OPEN,,,,NO,,ASAN,0,Next level breakout trigger,,NO,NULL
73837,Buy Calls,AYX,AYX Jul 16 2021 95 Call,,,1.4,2.8,95,0.5,,2021-06-22,,,ACTIVE,Closed,2021-06-22,STOPPED OUT,-57,YES,,AYX,-570,Monster move developing here,,NO,NULL
74093,Buy Calls,BA,BA Aug 21 2020 200 Call,,,4.45,7.95,200,1.5,,2020-08-11,,,ACTIVE,Closed,2020-08-11,STOPPED OUT,-55,YES,,BA,-550,Big move in BA brewing. Quick trade.,,NO,NULL
73820,Buy Calls,BABA,BABA Jul 30 2021 217.5 Call (Weekly),,,3.15,3.55,217.5,1.2,,2021-07-13,,,ACTIVE,Closed,2021-07-14,TARGET REACHED,51,YES,,BABA,510,Monster opportunity here for a quick trade,,NO,NULL
74036,Buy Calls,BABA,BABA Oct 30 2020 320 Call (Weekly),,,3.55,6.35,320,1.4,,2020-10-16,,,ACTIVE,Closed,2020-10-19,TARGET REACHED,79,YES,,BABA,790,Next opportunity,,NO,NULL
74083,Buy Calls,BABA,BABA Sep 4 2020 280 Call (Weekly),,,3.85,6.95,280,1.3,,2020-08-21,,,ACTIVE,Closed,2020-08-24,TARGET REACHED,81,YES,,BABA,810,Strong setup for next week.,,NO,NULL
74033,Buy Calls,BAC,BAC Nov 20 2020 26 Call,,,0.47,0.79,26,0.24,,2020-10-22,,,ACTIVE,Closed,2020-11-04,STOPPED OUT,-58,YES,,BAC,-580,BAC is ready for $26 plus short term again.,,NO,NULL
73965,Buy Calls,BFT,BFT Feb 19 2021 20 Call,,,1.1,2.1,20,0.45,,2021-01-19,,,ACTIVE,Closed,2021-01-25,STOPPED OUT,-59,YES,,BFT,-590,BFT monster rally into 20's over the next few weeks.,,NO,NULL
74034,Buy Calls,BIDU,BIDU Nov 20 2020 145 Call,,,2.75,3.45,145,1.05,,2020-10-21,,,ACTIVE,Closed,2020-11-02,TARGET REACHED,28,YES,,BIDU,280,BIDU is shaping up nicely for a monster move and upside calls have been strong beyond $150 plus.,,NO,NULL
73857,Buy Calls,BMBL,BMBL Jun 18 2021 50 Call,,,1.85,3.25,50,0.75,,2021-05-28,,,ACTIVE,Closed,2021-05-28,STOPPED OUT,-55,YES,,BMBL,-550,Early trigger and add.  Beauty!,,NO,NULL
73792,Buy Calls,CAT,CAT Aug 27 2021 225 Call (Weekly),,,2.45,3.5,225,0.92,,2021-08-11,,,ACTIVE,Closed,2021-08-11,TARGET REACHED,43,YES,,CAT,430,Explosive price action,,NO,NULL
73806,Buy Calls,CHWY,CHWY Aug 20 2021 95 Call,,,2.2,4.4,95,0.5,,2021-07-28,,,ACTIVE,Closed,2021-07-28,STOPPED OUT,-67,YES,,CHWY,-670,Monster move in CHWY towards $95 short term,,NO,NULL
74088,Buy Calls,CHWY,CHWY Aug 28 2020 57.5 Call (Weekly),,,1.76,1.85,57.5,0.6,,2020-08-13,,,ACTIVE,Closed,2020-08-19,TARGET REACHED,6,YES,,CHWY,60,Next set-up.,,NO,NULL
74017,Buy Calls,CHWY,CHWY Dec 18 2020 70 Call,,,3.45,4.95,70,1.3,,2020-11-16,,,ACTIVE,Closed,2020-11-20,TARGET REACHED,61,YES,,CHWY,610,CHWY provides tremendous opportunity short term.,,NO,NULL
73988,Buy Calls,CHWY,CHWY Dec 31 2020 110 Call (Weekly),,,2.95,3.3,110,1.1,,2020-12-21,,,ACTIVE,Closed,2020-12-22,TARGET REACHED,12,YES,,CHWY,120,Quick trade opportunity.,,NO,NULL
73877,Buy Calls,CLF,CLF May 21 2021 22 Call,,,0.62,1.07,22,0.22,,2021-05-07,,,ACTIVE,Closed,2021-05-10,TARGET REACHED,73,YES,,CLF,730,CLF has triggered with a beauty of a pattern.,,NO,NULL
73780,Buy Calls,CLF,CLF Sep 17 2021 25 Call,,,1.05,1.49,25,0.43,,2021-08-23,,,ACTIVE,Closed,2021-08-24,TARGET REACHED,42,YES,,CLF,420,Absolute beauty of a setup here.,,NO,NULL
74023,Buy Calls,COP,COP Dec 18 2020 36 Call,,,1.44,2,36,0.7,,2020-11-10,,,ACTIVE,Closed,2020-11-11,TARGET REACHED,51,YES,,COP,510,,,NO,NULL
73986,Buy Calls,CRM,CRM Jan 8 2021 240 Call (Weekly),,,3.7,6.6,240,1.4,,2020-12-22,,,ACTIVE,Closed,2020-12-22,STOPPED OUT,-58,YES,,CRM,-580,CRM getting ready here...,,NO,NULL
74057,Buy Calls,CRM,CRM Oct 2 2020 255 Call (Weekly),,,3.7,6.7,255,1.3,,2020-09-22,,,ACTIVE,Closed,2020-09-22,STOPPED OUT,-60,YES,,CRM,-600,"Trading very well, coming out of it's wedge.... Quick trade.",,NO,NULL
74005,Buy Calls,CRSR,CRSR Dec 18 2020 45 Call,,,3.9,6.2,45,1.25,,2020-11-30,,,ACTIVE,Closed,2020-11-30,STOPPED OUT,-66,YES,,CRSR,-660,"Quick trade, explosive trigger. ",,NO,NULL
73802,Buy Calls,CRWD,CRWD Aug 20 2021 265 Call,,,5.3,7.9,265,2,,2021-08-02,,,ACTIVE,Closed,2021-08-03,TARGET REACHED,44,YES,,CRWD,440,CRWD has 52 week highs in sight this month.,,NO,NULL
74019,Buy Calls,CRWD,CRWD Nov 20 2020 143 Call,,,2.4,4.8,143,0.9,,2020-11-12,,,ACTIVE,Closed,2020-11-13,STOPPED OUT,-63,YES,,CRWD,-630,Quick trade opportunity.,,NO,NULL
74049,Buy Calls,CRWD,CRWD Oct 16 2020 150 Call,,,3.95,5.15,150,,,2020-10-01,,,ACTIVE,Closed,2020-10-05,TARGET REACHED,30,YES,,CRWD,300,Quick trade and opportunity.,,NO,NULL
74084,Buy Calls,CRWD,CRWD Sep 4 2020 120 Call (Weekly),,,3.4,6.1,120,1.4,,2020-08-20,,,ACTIVE,Closed,2020-08-26,TARGET REACHED,80,YES,,CRWD,800,Beauty of a indicator and chart.,,NO,NULL
73904,Buy Calls,CSCO,CSCO May 21 2021 55 Call,,,1.01,2.05,55,0.41,,2021-04-05,,,ACTIVE,Closed,2021-04-05,STOPPED OUT,-59,YES,,CSCO,-590,Monster look and move.  Look for CSCO to continue to march higher,,NO,NULL
74025,Buy Calls,CSIQ,CSIQ Nov 20 2020 45 Call,,,1.65,2.95,45,0.3,,2020-11-06,,,ACTIVE,Closed,2020-11-16,STOPPED OUT,-67,YES,,CSIQ,-670,Next opportunity.,,NO,NULL
73777,Buy Calls,CZR,CZR Sep 17 2021 100 Call,,,3.3,5.1,100,1.3,,2021-08-25,,,ACTIVE,Closed,2021-08-26,TARGET REACHED,55,YES,,CZR,550,CZR has triggered and $100 plus is in play short term.,,NO,NULL
73922,Buy Calls,DBX,DBX Apr 16 2021 27 Call,,,1.01,2.05,27,0.46,,2021-03-10,,,ACTIVE,Closed,2021-03-12,TARGET REACHED,103,YES,,DBX,1030,Insane amount of calls being bought here.  From this friday through next week.  We won't be as aggressive but join in.  Same pattern as mrvl.,,NO,NULL
73849,Buy Calls,DBX,DBX Jul 16 2021 31 Call,,,0.79,1.6,31,0.25,,2021-06-07,,,ACTIVE,Closed,2021-06-07,STOPPED OUT,-59,YES,,DBX,-590,Next level trigger here and DBX is headed towards $33 - $35 short term,,NO,NULL
73866,Buy Calls,DBX,DBX Jun 18 2021 28 Call,,,0.73,0.85,28,0.17,,2021-05-19,,,ACTIVE,Closed,2021-05-26,TARGET REACHED,17,YES,,DBX,170,DBX upside calls flying....we join in here on a beautiful momentum trigger.,,NO,NULL
73869,Buy Calls,DDD,DDD Jun 18 2021 26 Call,,,1.55,2.6,26,0.45,,2021-05-17,,,ACTIVE,Closed,2021-05-18,TARGET REACHED,68,YES,,DDD,680,DDD breaking out and wants above $25 short term,,NO,NULL
74054,Buy Calls,DDOG,DDOG Oct 16 2020 100 Call,,,2.75,5.5,100,1.15,,2020-09-28,,,ACTIVE,Closed,2020-09-28,STOPPED OUT,12,YES,,DDOG,120,DDOG $100 plus short term.  Beauty breakout,,NO,NULL
73788,Buy Calls,DDOG,DDOG Sep 3 2021 140 Call (Weekly),,,2.98,5.3,140,0.71,,2021-08-13,,,ACTIVE,Closed,2021-08-13,STOPPED OUT,-74,YES,,DDOG,-740,DDOG has so much more room to go higher.,,NO,NULL
73927,Buy Calls,DKNG,DKNG Apr 1 2021 70 Call (Weekly),,,2.75,4.95,70,0.9,,2021-03-04,,,ACTIVE,Closed,2021-03-05,STOPPED OUT,-61,YES,,DKNG,-610,Great opportunity to add an outstanding company with a ton of great exposure of late.  We move out to April and add DKNG on the cheap.,,NO,NULL
73909,Buy Calls,DKNG,DKNG Apr 16 2021 64 Call,,,2.19,2.6,64,0.84,,2021-03-29,,,ACTIVE,Closed,2021-04-05,TARGET REACHED,19,YES,,DKNG,190,DKNG is beyond oversold here.  Great entry point and should provide us a quick trade opportunity.,,NO,NULL
73920,Buy Calls,DKNG,DKNG Mar 26 2021 75 Call (Weekly),,,2.3,3.95,75,0.6,,2021-03-12,,,ACTIVE,Closed,2021-03-12,STOPPED OUT,-73,YES,,DKNG,-730,DKNG triggered with a move towards $75 short term.,,NO,NULL
74080,Buy Calls,DKNG,DKNG Sep 18 2020 40 Call,,,2.45,3.2,40,0.75,,2020-08-25,,,ACTIVE,Closed,2020-08-27,TARGET REACHED,30,YES,,DKNG,300,Quick trade,,NO,NULL
73985,Buy Calls,DM,DM Jan 15 2021 25 Call,,,1.1,2.1,25,0.1,,2020-12-23,,,ACTIVE,Closed,2020-12-23,STOPPED OUT,-90,YES,,DM,-900,Beautiful trade for the next few weeks.  The price activity behind DM is outstanding.,,NO,NULL
73776,Buy Calls,DOCN,DOCN Sep 17 2021 60 Call,,,2.55,4.2,60,0.95,,2021-08-26,,,ACTIVE,Closed,2021-08-30,TARGET REACHED,65,YES,,DOCN,650,Strong price action in DOCN today.  trigger to strong to wait on here.,,NO,NULL
73794,Buy Calls,DOCU,DOCU Aug 20 2021 320 Call,,,4.55,8.6,320,1.5,,2021-08-10,,,ACTIVE,Closed,2021-08-10,STOPPED OUT,-57,YES,,DOCU,-570,Beauty of a bull flag breakout.  Quick trade,,NO,NULL
74087,Buy Calls,DOCU,DOCU Aug 28 2020 220 Call (Weekly),,,3.7,7,220,1.3,,2020-08-17,,,ACTIVE,Closed,2020-08-17,STOPPED OUT,-63,YES,,DOCU,-630,DOCU has a monster setup brewing.  Trigger to new 52 weeks potentially.  We enter now.,,NO,NULL
73787,Buy Calls,EBAY,EBAY Sep 17 2021 80 Call,,,1.11,2.25,80,0.31,,2021-08-16,,,ACTIVE,Closed,2021-08-16,STOPPED OUT,67,YES,,EBAY,670,Next opportunity.,,NO,NULL
74007,Buy Calls,ETSY,ETSY Dec 18 2020 170 Call,,,3.75,4.55,170,1.5,,2020-11-27,,,ACTIVE,Closed,2020-12-08,TARGET REACHED,22,YES,,ETSY,220,ETSY has a beautiful breakout in play.  Monster developing.,,NO,NULL
74014,Buy Calls,ETSY,ETSY Dec 4 2020 140 Call (Weekly),,,3.1,5.1,140,1.3,,2020-11-19,,,ACTIVE,Closed,2020-11-20,TARGET REACHED,65,YES,,ETSY,650,ETSY gets the call again and breaking out towards $140 plus short term.,,NO,NULL
73815,Buy Calls,ETSY,ETSY Jul 30 2021 200 Call (Weekly),,,3.7,4.8,200,0.9,,2021-07-19,,,ACTIVE,Closed,2021-07-22,TARGET REACHED,30,YES,,ETSY,300,Quick trade,,NO,NULL
73811,Buy Calls,ETSY,ETSY Jul 30 2021 212.5 Call (Weekly),,,2.7,4.35,212.5,1,,2021-07-23,,,ACTIVE,Closed,2021-07-23,TARGET REACHED,61,YES,,ETSY,610,ETSY with a path to explode towards $220 over the next week. Quick trade.,,NO,NULL
74021,Buy Calls,ETSY,ETSY Nov 20 2020 130 Call,,,3.25,5,130,1.35,,2020-11-11,,,ACTIVE,Closed,2020-11-11,TARGET REACHED,54,YES,,ETSY,540,Quick trade opportunity.,,NO,NULL
74041,Buy Calls,ETSY,ETSY Oct 23 2020 155 Call (Weekly),,,3.35,5.15,155,1.5,,2020-10-12,,,ACTIVE,Closed,2020-10-13,TARGET REACHED,54,YES,,ETSY,540,Quick trade\trigger.,,NO,NULL
74073,Buy Calls,ETSY,ETSY Sep 18 2020 132 Call,,,3.85,7.7,132,0.9,,2020-09-01,,,ACTIVE,Closed,2020-09-01,STOPPED OUT,-67,YES,,ETSY,-670,ETSY with a monster move in play short term.,,NO,NULL
74086,Buy Calls,FB,FB Aug 28 2020 275 Call (Weekly),,,2.85,5.55,275,0.85,,2020-08-18,,,ACTIVE,Closed,2020-08-24,TARGET REACHED,93,YES,,FB,930,What a chart and what a breakout brewing. Too strong to resist.,,NO,NULL
73808,Buy Calls,FB,FB Aug 6 2021 380 Call (Weekly),,,5.35,8.9,380,1.85,,2021-07-27,,,ACTIVE,Closed,2021-07-28,TARGET REACHED,67,YES,,FB,670,This trade is a setup into FB earnings tomorrow after the close.  We fully expect to be out prior to release but love FB into earnings.  Todays move within tech is overdone,,NO,NULL
73999,Buy Calls,FB,FB Dec 18 2020 295 Call,,,3.8,6.95,295,0.7,,2020-12-07,,,ACTIVE,Closed,2020-12-09,STOPPED OUT,-81,YES,,FB,-810,Quick trade opportunity.,,NO,NULL
73828,Buy Calls,FB,FB Jul 16 2021 357.5 Call,,,3.45,5.6,357.5,1.25,,2021-07-01,,,ACTIVE,Closed,2021-07-06,TARGET REACHED,62,YES,,FB,620,FB has triggered and offers a beauty of a set-up for the next few weeks.,,NO,NULL
73858,Buy Calls,FB,FB Jun 18 2021 345 Call,,,3.25,6.5,145,0.85,,2021-05-27,,,ACTIVE,Closed,2021-05-27,STOPPED OUT,-64,YES,,FB,-640,The chart / trigger on FB right now is absolute monster,,NO,NULL
73921,Buy Calls,FB,FB Mar 26 2021 282.5 Call (Weekly),,,3.85,4.25,282.5,1.5,,2021-03-11,,,ACTIVE,Closed,2021-03-16,TARGET REACHED,11,YES,,FB,110,Monster move out of it's base.,,NO,NULL
73874,Buy Calls,FB,FB May 28 2021 315 Call (Weekly),,,3.85,5.3,315,1.7,,2021-05-11,,,ACTIVE,Closed,2021-05-14,TARGET REACHED,38,YES,,FB,380,"FB has triggered with an oversold indicator.  Earnings were outstanding, forecast outstanding, FB offers so much potential at this level.  We move out to end of May for this trade. ",,NO,NULL
73773,Buy Calls,FB,FB Sep 17 2021 390 Call,,,3.9,6.9,390,1.4,,2021-08-31,,,ACTIVE,Closed,2021-08-31,STOPPED OUT,-61,YES,,FB,-610,"Adding FB here, beauty of a technical. ",,NO,NULL
74079,Buy Calls,FB,FB Sep 4 2020 300 Call (Weekly),,,4.4,7.9,300,1.8,,2020-08-26,,,ACTIVE,Closed,2020-08-26,TARGET REACHED,80,YES,,FB,800,Quick opportunity and trade.,,NO,NULL
73932,Buy Calls,FCX,FCX Mar 19 2021 38 Call,,,0.91,1,38,0.4,,2021-03-01,,,ACTIVE,Closed,2021-03-11,TARGET REACHED,32,YES,,FCX,320,FCX has so much more room to go from last week's price activity.,,NO,NULL
73915,Buy Cals,FINV,FINV Apr 16 2021 10 Call,,,0.55,1.1,10,0.15,,2021-03-22,,,ACTIVE,Closed,2021-03-22,STOPPED OUT,,YES,,FINV,0,Quick trade opportunity.,,NO,NULL
